day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
7,2016,01,31,2016-01-31,42.6,24.5,1013.7,10.0,5.6,11.1,22.0,55.9,28.0,0.0,5.9,0,532
1,2013,01,21,2013-01-21,29.8,9.3,1016.1,10.0,5.1,11.1,22.9,39.9,26.1,0.0,999.9,0,355
1,2020,01,20,2020-01-20,26.5,5.6,1021.1,10.0,7.3,11.1,25.1,43.0,19.9,0.0,1.2,0,390
1,2018,01,01,2018-01-01,11.7,-4.6,1027.4,10.0,7.3,11.1,19.0,21.0,7.0,0.0,999.9,0,453
1,2020,01,06,2020-01-06,37.3,25.2,1014.3,8.9,5.4,11.1,20.0,45.0,32.0,0.04,999.9,1,459
2,2018,01,30,2018-01-30,33.1,25.6,1015.5,6.1,6.4,11.1,25.1,46.9,28.9,0.09,999.9,0,579
6,2016,01,16,2016-01-16,46.0,37.3,999.9,8.6,5.5,11.1,19.0,52.0,34.0,0.21,999.9,0,563
1,2016,01,04,2016-01-04,30.8,12.5,1015.2,10.0,7.0,11.1,22.0,39.0,19.9,0.0,999.9,0,601
6,2022,01,22,2022-01-22,20.5,3.4,1029.3,10.0,5.2,11.1,17.1,28.9,12.9,0.0,999.9,0,267
3,2022,01,26,2022-01-26,25.6,4.1,1025.0,10.0,5.8,11.1,20.0,42.1,19.9,0.0,999.9,0,266
3,2021,01,27,2021-01-27,34.3,27.2,1014.4,7.4,5.4,11.1,20.0,37.0,30.9,0.1,999.9,1,262
6,2016,01,30,2016-01-30,32.8,15.8,1014.6,10.0,6.0,11.1,22.0,41.0,28.0,0.0,5.9,0,596
3,2016,01,20,2016-01-20,30.7,13.1,1020.5,10.0,5.6,11.1,21.0,37.0,16.0,0.0,999.9,0,623
7,2018,01,14,2018-01-14,19.2,0.6,1033.3,10.0,6.8,11.1,19.0,24.1,15.1,0.05,999.9,0,494
4,2013,01,10,2013-01-10,44.3,25.4,1028.5,9.9,5.9,11.1,19.0,48.0,39.9,0.0,999.9,0,555
2,2018,01,23,2018-01-23,46.7,43.4,1008.5,4.4,4.4,11.1,19.0,60.1,37.9,0.02,999.9,1,531
6,2016,01,09,2016-01-09,43.3,35.7,1021.7,9.3,7.4,11.1,18.1,46.4,39.9,0.0,999.9,0,554
1,2021,01,25,2021-01-25,29.0,9.0,1019.6,10.0,5,11.1,17.1,37.0,21.9,0.0,999.9,0,259
5,2022,01,07,2022-01-07,31.1,20.1,1011.9,6.1,6.9,11.1,22.9,41.0,27.0,0.35,999.9,1,296
4,2021,01,07,2021-01-07,35.3,20.6,1018.0,10.0,7.2,11.1,18.1,41.0,30.9,0.0,999.9,0,285
3,2015,01,14,2015-01-14,22.8,9.5,1031.1,10.0,6.4,11.1,15.0,36.0,16.0,0.0,999.9,0,506
6,2017,01,28,2017-01-28,36.6,20.9,1004.2,10.0,7.1,12.0,21.0,43.0,34.0,0.0,999.9,0,501
6,2018,01,20,2018-01-20,43.3,21.8,1012.5,10.0,7.7,12.0,22.9,52.0,24.1,0.0,999.9,0,530
5,2017,01,27,2017-01-27,41.8,24.6,1002.1,10.0,7.8,12.0,27.0,44.1,39.9,0.02,999.9,0,583
7,2014,01,12,2014-01-12,47.6,33.8,1005.0,9.7,7.2,12.0,25.1,57.9,37.0,0.42,999.9,0,388
3,2017,01,11,2017-01-11,45.8,37.8,1024.9,9.5,5.3,12.0,20.0,52.0,37.9,0.26,3.1,0,629
2,2014,01,28,2014-01-28,17.8,-7.2,1023.8,10.0,6.5,12.0,22.0,26.1,12.9,0.0,3.1,0,504
5,2016,01,29,2016-01-29,38.3,21.7,1001.0,9.5,5.5,12.0,22.9,42.1,32.0,0.0,5.9,0,645
7,2018,01,07,2018-01-07,9.7,-6.6,1032.6,10.0,6.3,12.0,19.0,18.0,5.0,0.0,5.9,0,475
5,2016,01,01,2016-01-01,40.4,24.3,1017.1,10.0,6.5,12.0,22.9,48.0,37.0,0.03,999.9,0,393
4,2016,01,28,2016-01-28,37.0,19.3,1015.4,10.0,4.1,12.0,15.9,46.9,32.0,0.0,9.1,0,681
3,2015,01,28,2015-01-28,23.6,3.8,1014.8,10.0,7.7,12.0,21.0,34.0,16.0,0.36,7.9,0,458
5,2016,01,22,2016-01-22,25.9,5.1,1023.7,10.0,5.3,12.0,17.1,36.0,21.0,0.0,999.9,0,702
3,2017,01,25,2017-01-25,40.5,30.4,1002.3,9.8,6.4,12.0,21.0,48.0,35.1,0.68,999.9,0,576
6,2013,01,05,2013-01-05,36.1,18.7,1020.6,10.0,6.6,12.0,21.0,42.1,32.0,0.0,999.9,0,389
6,2016,01,02,2016-01-02,35.8,17.7,1016.9,10.0,6.0,12.0,18.1,42.1,32.0,0.0,999.9,0,422
3,2013,01,16,2013-01-16,34.2,30.0,1018.6,5.4,4.6,12.0,14.0,37.9,32.0,0.63,999.9,0,578
2,2016,01,05,2016-01-05,18.4,-2.3,1032.7,10.0,6.2,12.0,22.0,36.0,10.9,0.0,999.9,0,640
