day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
3,2013,12,11,11/12/2013,30.1,14.1,1022.8,10,6.8,12,21,37,27,0.23,999.9,0,605
6,2018,3,17,17/03/2018,35.6,11.7,1010.1,10,7.9,12,21,48,27,0,999.9,0,562
2,2016,2,9,09/02/2016,30.4,21.8,1004.4,9.4,4.7,8.9,999.9,39,27,0.05,999.9,0,571
7,2018,3,18,18/03/2018,36.2,5.8,1012,10,5.6,13,22.9,48,27,0,999.9,0,526
3,2016,2,10,10/02/2016,34.8,24.2,1003.1,7.5,3.8,8.9,20,39,27,0.01,999.9,0,537
7,2014,1,5,05/01/2014,30.3,21.9,1025.6,6.4,3.8,7,15,36,27,0,5.9,1,320
5,2021,1,8,08/01/2021,32,19.5,1016.4,10,4.5,8.9,999.9,41,27,0,999.9,0,272
5,2021,1,8,08/01/2021,32,19.5,1016.4,10,4.5,8.9,999.9,41,27,0,999.9,0,272
4,2016,2,18,18/02/2016,32.5,11.5,1027,10,5.9,9.9,18.1,37,27,0,999.9,0,592
1,2021,2,15,15/02/2021,33.2,23.8,1022.9,8.9,4.9,8,999.9,37.9,27,0,7.9,1,208
1,2021,2,15,15/02/2021,33.2,23.8,1022.9,8.9,4.9,8,999.9,37.9,27,0,7.9,1,208
6,2021,2,20,20/02/2021,31.4,20.4,1018.3,9.3,5.5,13,20,34,27,0.11,5.1,1,257
6,2021,2,20,20/02/2021,31.4,20.4,1018.3,9.3,5.5,13,20,34,27,0.11,5.1,1,257
3,2014,3,5,05/03/2014,31.3,6,1024.3,10,3.2,8.9,14,37,28,0,5.1,0,491
5,2014,11,21,21/11/2014,32.3,8.1,1022.2,10,7.5,11.1,20,45,28,0,999.9,0,677
6,2014,11,22,22/11/2014,34.3,11.1,1029.9,10,3.7,8,15.9,44.1,28,0,999.9,0,512
7,2014,11,23,23/11/2014,47.4,22.2,1021.7,10,4,9.9,20,57,28,0,999.9,0,425
3,2014,3,19,19/03/2014,36.9,27.1,1023.5,9.4,6.2,9.9,17.1,44.1,28,0,999.9,0,525
6,2017,1,14,14/01/2017,31.1,16.4,1038.1,8.4,4.1,8,15,35.1,28,0,999.9,1,495
7,2017,1,15,15/01/2017,33,23.8,1027,8.5,3.7,8,999.9,37.9,28,0.12,999.9,0,490
5,2021,4,2,02/04/2021,35.1,13.4,1019.9,10,9.1,14,24.1,57.9,28,0.02,999.9,0,283
5,2021,4,2,02/04/2021,35.1,13.4,1019.9,10,9.1,14,24.1,57.9,28,0.02,999.9,0,283
5,2019,11,15,15/11/2019,43.2,22,1023.3,10,3.6,6,999.9,51.1,28,0,999.9,0,621
2,2017,2,14,14/02/2017,32.6,18.8,1013,10,5.5,11.1,22,39.9,28,0.02,2,0,688
3,2017,2,15,15/02/2017,40.3,29.5,1000.1,9.4,4.6,15.9,25.1,46.9,28,0,2,0,603
7,2019,12,8,08/12/2019,34,18.5,1032.3,10,2.3,6,999.9,42.1,28,0,999.9,0,455
